House.No,House.Address,Area.Floor.sf,E.Ele.kWh.1,E.Ele.kWh.2,E.Ele.kWh.3,E.Ele.kWh.4,E.Ele.kWh.5,E.Ele.kWh.6,E.Ele.kWh.7,E.Ele.kWh.8,E.Ele.kWh.9,E.Ele.kWh.10,E.Ele.kWh.11,E.Ele.kWh.12,E.Ele.kWh.13,E.Ele.kWh.14,E.Ele.kWh.15,E.Ele.kWh.16,E.Ele.kWh.17,E.Ele.kWh.18,E.Ele.kWh.19,E.Ele.kWh.20,E.Ele.kWh.21,E.Ele.kWh.22,E.Ele.kWh.23,E.Gas.Mcf.1,E.Gas.Mcf.2,E.Gas.Mcf.3,E.Gas.Mcf.4,E.Gas.Mcf.5,E.Gas.Mcf.6,E.Gas.Mcf.7,E.Gas.Mcf.8,E.Gas.Mcf.9,E.Gas.Mcf.10,E.Gas.Mcf.11,E.Gas.Mcf.12,E.Gas.Mcf.13,E.Gas.Mcf.14,E.Gas.Mcf.15,E.Gas.Mcf.16,E.Gas.Mcf.17,E.Gas.Mcf.18,E.Gas.Mcf.19,E.Gas.Mcf.20,E.Gas.Mcf.21,E.Gas.Mcf.22,E.Gas.Mcf.23
71," 442 Lowes St,    ",1400,646,259,312,989,1586,1610,2023,927,1549,1397,1425,2010,472,308,305,821,1526,1693,2257,936,1384,1441,1280,NA,NA,NA,24.2,34.7,21.4,12.3,3.4,0.8,0.7,0.7,0.7,2.7,7.8,16.1,21.8,21.8,18.6,7.9,2.4,0.7,0.8,0.7
72,"444 Lowes St,  ",864,576,732,879,396,1259,901,801,385,214,208,769,978,546,573,506,394,525,444,492,335,326,207,118,NA,NA,NA,31.5,34.3,23.5,16,6.5,1.5,1.4,1.9,2.4,5,13.9,18.8,23.9,30.5,22.4,13.8,6.1,1.5,1.5,1.5
73,"446 Lowes St,    ",960,617,773,659,436,599,502,484,365,169,374,602,997,495,623,703,529,806,792,780,715,494,251,359,NA,NA,NA,23.6,35.2,21.4,14.6,3.3,0,0,0,0.9,3.8,11,19.4,21.6,27.4,22,11.1,3.4,0,0,0.2
74,"449  Lowes St,   ",952,458,453,473,396,513,387,392,218,170,156,232,713,525,630,584,409,560,455,365,218,91,83,88,NA,NA,NA,37.1,55.2,33.8,22.7,8,1.8,1.7,2,2.7,6,17.2,29.2,36.7,39.9,31.6,15.3,5.4,1.8,1.7,1.8
75,"451 Lowes St,   ",1124,358,414,434,319,529,403,372,212,90,92,89,524,424,435,458,339,499,468,398,374,160,82,116,NA,NA,NA,22.5,38.8,23.5,15.9,4.3,0.5,0.4,0.4,1.6,4.1,13.5,19.4,21.7,26.3,22.5,11.4,5.5,0.4,0.5,0.5
76,"457 Lowes St,  ",1288,882,521,522,483,590,549,600,327,106,99,46,775,643,593,1187,510,850,689,498,296,87,116,218,NA,NA,NA,22.5,30.7,19.1,11.8,3.6,1.1,0.7,0.6,0.8,2.7,9.1,12.9,17.5,20.8,17.1,8,3.6,0.6,0.7,0.6
77,"512 Lowes St,    ",812,435,303,320,261,365,259,209,156,119,128,345,886,257,297,341,267,356,312,261,187,137,134,143,NA,NA,NA,21,31.9,21.3,15.1,5.6,2.1,1.8,2.1,2.2,4.1,9.2,16,20.9,22,17.9,9.6,4.1,2.3,2,1.9
78,"514  Lowes St,    ",1248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.3,31.5,19.8,12,3.4,1.1,1,1.2,1.9,4.3,10.7,18.2,20.5,25.1,19.9,10.1,4.6,1,1,0.7
79,"516 Lowes St,   ",924,786,703,695,535,795,704,616,396,242,253,264,1098,646,687,740,543,834,707,606,423,443,478,516,NA,NA,NA,13,18,11,6,1.1,0.6,0.3,0.3,0.8,2.9,7.9,11.7,12.6,15.6,11.3,6.7,1.6,0.4,0.4,0.3
80,214 KIEFABER ST,164,1500,757,616,508,830,688,852,1006,1002,921,651,2245,1142,687,690,495,795,709,606,699,882,1016,1321,NA,NA,NA,24.4,33.6,19.6,12.7,3.3,0.7,0.7,0.7,1.8,2.7,9.2,16.5,24.7,23.7,19.1,8.3,2.8,0.5,0.6,0.9
81,215 KIEFABER ST,137,721,669,525,348,760,634,607,361,166,245,127,655,400,371,349,252,388,405,334,226,110,81,92,NA,NA,NA,25.2,44,27,19.3,5.5,1.5,1.5,1.1,2.3,6.5,14.1,21.9,26.1,31.9,24.5,13.7,5.4,2.3,1,1
82,216 KIEFABER ST,1219,663,538,706,575,728,610,509,374,285,662,516,1604,741,719,948,702,903,901,677,486,379,1071,670,NA,NA,NA,19.3,33.2,20.8,13.5,5.4,1.5,0.3,0.5,1.7,3.6,9.2,14.7,18.9,22.2,18.8,8.7,2.8,0.8,0.6,0.9
83,217 KIEFABER ST,1632,990,851,783,856,779,802,841,726,590,881,854,1268,817,749,915,568,793,603,489,490,598,560,717,NA,NA,NA,25.5,35.4,21.4,14.1,5,0.9,1,1.1,2.4,5.4,10.9,17.9,21.9,25.7,20.8,10.7,4,0.9,0.9,0.9
84,218 KIEFABER ST,1456,1013,632,594,441,675,549,595,480,692,712,1178,2316,1451,1151,997,565,1061,978,1015,1206,916,933,1328,NA,NA,NA,25.3,38.4,22.8,18,3.6,0.6,0.6,0.9,1.5,2.9,9.4,17.9,23.6,26.8,21.6,8.9,3.7,0.7,0.9,0.7
85,219 KIEFABER ST,1560,643,550,572,420,678,547,469,310,183,203,219,1919,1236,890,952,632,1018,973,992,554,133,96,118,NA,NA,NA,32.6,57.3,34.5,21.2,7.8,2.4,1.1,1.3,3,8.1,17,26.3,34.6,42.1,36.5,15.8,5.4,1.2,0.7,1.8
86,221 KIEFABER ST,1464,1485,883,874,1380,1142,909,863,869,717,999,910,2516,1151,899,958,761,1065,893,1061,787,1037,384,1150,NA,NA,NA,20.8,40.1,24.4,15.4,5.8,0.5,0.5,0.3,1.6,4.1,10.8,18.2,22.9,31.1,25,12,2.8,0.2,0.3,0.4
87,222 KIEFABER ST,812,504,446,504,550,550,475,421,353,490,528,855,1049,715,425,602,460,495,551,744,684,280,187,340,NA,NA,NA,25,32.6,18,12,3.3,0.8,0.1,0.1,1.2,5.2,14.9,27.7,26.3,29.3,20.5,10.7,3.7,0,0.1,0
88,224 KIEFABER ST,1140,524,457,439,381,594,464,439,281,120,136,360,1085,588,636,696,464,729,709,559,335,80,77,211,NA,NA,NA,26,39.8,23.7,15.7,5.5,0.6,0.7,1.6,1.4,4.9,12.5,21.3,25.1,27.4,22.7,11.3,4.5,0.6,0.6,0.6
89,225 KIEFABER ST,1482,1244,906,859,676,1069,930,903,504,175,296,238,1808,1198,874,960,763,1229,973,783,507,95,95,273,NA,NA,NA,35,55.5,32,18.6,6.1,1.2,0.1,1.6,2.7,8.3,21.6,31.5,40.7,42.7,30.4,15.3,4.6,0.2,0,0.1
90,226 KIEFABER ST,1132,687,423,607,1021,1121,993,784,535,146,125,254,876,516,849,1141,580,1114,835,479,242,79,90,122,NA,NA,NA,21.9,33.3,20.3,13,5.1,2.4,0.6,0.6,1.2,1.5,9.2,15.8,28.1,29.7,20.3,10.5,2.8,0.6,0.7,0.5
91,227 KIEFABER ST,1120,466,372,385,290,466,380,342,212,114,134,121,745,361,264,420,308,571,411,296,177,74,78,98,NA,NA,NA,20.9,34.3,21.8,14.3,4.6,1.5,1.2,1.2,2.2,5.7,11.7,18.1,25.3,28.1,23.5,12.3,4.3,1.3,1.2,1
92,229 KIEFABER ST,1120,896,605,688,465,788,677,570,403,147,729,494,1168,601,573,571,462,711,571,445,380,77,368,221,NA,NA,NA,21.8,38,24.3,15.5,5.5,0.8,0.8,0.6,2.1,5.4,12.4,20.4,24.1,31.7,25.1,13.8,5.2,0.5,0.7,0.5
93,230 KIEFABER ST,1152,371,502,631,484,1217,765,634,317,126,136,236,779,567,624,657,520,1000,1653,1689,1380,1229,1128,1199,NA,NA,NA,33.2,44.5,30.6,20.4,6.4,2.2,2.2,2.1,3.5,7.3,14.6,25.8,27.2,31.9,24.1,13.2,5.2,2.4,1.6,1.5
94,233 KIEFABER ST,1720,727,674,848,373,854,516,467,265,127,189,236,861,511,447,562,276,567,541,319,210,117,113,189,NA,NA,NA,27.9,39.9,23.8,13.9,3.6,2.2,2.1,0.3,0.7,0.9,12.5,23.6,30.3,32.5,23.1,10.1,2.1,1.9,1.8,1.7
95,236 KIEFABER ST,1356,708,591,586,544,773,618,587,387,99,116,102,760,446,410,462,373,530,440,404,245,99,96,130,NA,NA,NA,37.8,55.8,32.1,20.8,4.6,0.7,0.7,0.4,1.9,6.5,15.5,24.8,29.8,35.1,28.2,13.4,3.6,0.5,0.4,0.4
96,239 KIEFABER ST,2050,1180,913,939,834,1134,1084,920,528,292,738,669,1793,1093,885,794,510,883,803,970,543,431,629,973,NA,NA,NA,25.1,35.7,19.8,10.2,4.5,0.4,0,0.5,1.4,4.6,10.5,16.9,20.2,22.8,19.5,7.7,3.5,0.3,0.4,0.5
97,240 KIEFABER ST,1288,622,652,586,435,658,539,610,353,391,442,506,938,529,576,603,440,699,571,547,637,365,697,974,NA,NA,NA,12.3,17.6,11,7.5,2.2,0.4,0.5,0.5,1.6,4,8.2,13.2,14,17,14.4,7.1,3.2,0.4,0.5,0.5
98,305 KIEFABER ST,1848,916,563,481,419,562,453,414,258,134,355,781,947,665,654,669,545,477,526,370,542,678,333,733,NA,NA,NA,15.6,25.5,15.6,10.2,3.6,1.2,0.3,0.8,1.3,2.9,7.7,14.6,14.8,20.1,17.2,8.8,3.1,0.8,0.5,0.6
99,307 KIEFABER ST,1464,548,517,510,410,724,635,556,347,308,206,381,1118,611,630,848,592,1107,889,606,320,89,89,146,NA,NA,NA,22,39.3,26,16.5,8.2,2.8,0.9,1.3,1.8,5.7,13.2,22.4,28.9,29.7,24.9,13.3,4.8,1.2,0.9,1
100,309 KIEFABER ST,1632,940,525,373,258,657,544,670,874,296,425,380,1000,571,575,720,723,913,813,839,733,362,222,1128,NA,NA,NA,36,38.7,25.9,14.1,10.2,0.3,0,0.2,1.7,8,17,26,34.6,42,33.3,19.3,7.5,0.8,0.1,0.1
101,327 KIEFABER ST,1704,1182,904,824,623,973,857,930,599,200,164,137,1466,1081,1076,879,592,997,845,785,517,230,373,120,NA,NA,NA,38.1,52.9,28.8,15.9,4.2,1.8,1.4,0.5,2.3,4.3,16.1,27.2,35.9,35.6,27.4,14.4,5.7,1.3,1.3,1.3
102,331 KIEFABER ST,1008,517,489,447,399,526,443,415,230,134,408,581,1010,455,423,601,460,587,523,419,457,551,460,707,NA,NA,NA,23,31.6,19.7,13.1,3.3,0.5,0,1,1.7,4.1,11.4,18.3,21.4,25.5,20,10.3,3.7,0.5,0.4,0.6
103,413 KIEFABER ST,850,675,519,458,288,525,490,344,280,380,551,486,1395,1155,1295,1205,1099,905,409,416,283,54,43,200,NA,NA,NA,11.4,18,11.8,7.5,2.1,0.3,0.4,0.3,4.3,8.8,15.1,20,20.9,20.6,12.6,7,3.1,0.4,0.5,0.4
104,415 KIEFABER ST,950,522,404,394,296,458,372,347,243,173,183,181,825,744,759,725,418,764,700,639,495,144,145,162,NA,NA,NA,16.4,24.8,14.8,9.5,3.4,1.5,1.5,1.3,2.1,2.7,7.3,13.3,16.2,18.8,15.9,7.9,3.2,1.4,1.3,1.3
105,418 KIEFABER ST,1334,1135,728,633,480,827,765,783,546,396,1124,1048,2050,852,679,699,688,844,709,800,551,74,208,701,NA,NA,NA,26.6,38.1,22.6,15.7,2.7,0.7,0.6,0.9,1.7,4.6,12.1,19.9,24.1,30.3,25.2,12.4,5.1,1.3,0.8,0.6
106,422 KIEFABER ST,1147,583,558,518,310,534,444,404,319,235,255,304,834,428,356,368,301,396,345,270,200,163,155,136,NA,NA,NA,31.2,46.6,28.5,18.3,7.6,3.3,1.4,1.7,1.8,5.4,15.8,25.4,31.5,36.4,27.3,13.2,5.4,0.6,0.7,1
107,423 KIEFABER ST,1213,968,563,671,412,896,643,628,674,129,368,371,1702,1135,757,754,573,1037,926,979,849,768,705,924,NA,NA,NA,21.1,36.1,21.3,14.5,3.7,0.7,0.4,0.7,2,3.5,8.7,17,22.2,22.5,19,7.5,2.8,0.6,0.6,0.7
108,424 KIEFABER ST,1212,576,431,418,338,521,403,392,221,103,92,98,415,428,509,603,424,587,505,440,252,85,92,111,NA,NA,NA,22.1,33.9,19.7,12.3,3.2,0.4,0.4,0.4,1.3,6.9,11.4,19.3,21.1,23.6,19.3,10.5,3.6,0.4,0.5,0.3
109,425 KIEFABER ST,1490,637,722,636,392,899,622,642,386,119,593,785,1271,801,556,504,468,922,759,617,364,254,491,720,NA,NA,NA,20,33.5,19.4,12.3,3.2,0.6,0.6,0.8,1.7,3.5,8.9,15.3,18,21.1,17.1,7.9,2.8,0.6,0.6,0.6
110,426 KIEFABER ST,1088,694,465,637,413,615,505,450,468,303,460,753,1092,555,447,882,719,836,667,533,289,122,272,400,NA,NA,NA,17,24.3,15.2,9.4,2.5,0,0.1,0.1,0.9,2.7,8.9,12.8,17.1,22.7,16.9,8.5,4,0.1,0,0.1
111,428 KIEFABER ST,944,668,408,477,344,513,431,389,284,127,467,1169,2051,1299,1161,988,814,862,811,691,850,154,428,767,NA,NA,NA,20.5,31.8,20.1,13.1,4.2,0.6,0.5,0.8,2.3,3.5,10.4,19.9,22.3,23.9,20.7,10.3,4.1,0.6,0.7,0.5
112,429 KIEFABER ST,1500,1315,1270,1276,626,1225,1031,1055,1033,712,911,1227,1920,1588,1305,916,744,943,855,741,608,297,500,582,NA,NA,NA,31.3,50.8,27.9,16.9,4.6,1.3,0.9,1.1,4.3,5,11.6,23.2,33,35.3,26.7,12.9,4.1,1.5,0.8,0.5
113,431 KIEFABER ST,1500,2761,2463,1850,1781,1625,1365,1412,960,1026,1012,552,2204,1514,1213,1240,690,1422,1244,1202,1223,869,983,921,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,437 KIEFABER ST,1500,1483,1057,870,678,1280,966,1018,686,698,1145,887,1625,1016,873,1043,787,887,778,956,870,1201,1126,1062,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,440 KIEFABER ST,1432,665,541,541,457,659,522,503,343,195,185,203,666,495,532,555,433,578,510,440,317,186,205,263,NA,NA,NA,35.1,56.3,34.6,25.1,10.2,3.7,0.6,0.8,3.2,8.9,19.3,27.9,39.1,45.1,33.3,15.8,6.1,1.2,0.7,0.6
116,441 KIEFABER ST,1200,743,512,463,389,1041,767,637,405,117,356,462,1115,514,503,572,417,610,534,471,381,486,403,563,NA,NA,NA,12.6,29.7,17.8,11.4,4.2,0.6,0.5,0.8,1.7,3.6,10.3,16.9,20.3,23.2,19.3,9.5,3.4,0.4,0.5,0.5
117,443 KIEFABER ST,1100,613,504,761,444,1231,845,726,321,121,136,199,726,484,426,604,485,816,704,461,305,170,120,134,NA,NA,NA,29.4,44.5,27.4,16.1,4.8,0.6,0.6,0.7,1.8,7.1,15.3,30.5,34.7,38.3,33.3,19.3,6.2,0.7,0.5,0.4
118,447 KIEFABER ST,1000,907,486,459,413,702,524,523,298,143,414,1067,1309,757,634,625,508,578,519,552,695,806,646,887,NA,NA,NA,25.8,45.1,25.6,15.5,4.5,1.9,0.6,0.7,1.6,5.6,14.2,25.8,29.2,36.5,29.9,16.2,6.4,0.8,0.6,0.7
119,448 KIEFABER ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.2,32.6,20.3,14.4,3.2,0.6,0.6,0.6,1.7,2,10.9,14.4,18.7,20.9,19.9,11.1,4.4,1,0.7,0.6
120,449 KIEFABER ST,1200,429,310,402,468,1073,639,421,200,150,229,660,1292,672,428,492,327,500,528,452,639,438,677,550,NA,NA,NA,22.5,34,21.5,13,2.9,2.7,0,0.3,0.8,2.6,10,17.9,21.9,30.4,27.2,14.2,6,0,0,0
121,452 KIEFABER ST,1224,721,715,676,548,925,755,747,458,157,158,290,973,632,581,586,381,710,631,580,394,158,145,118,NA,NA,NA,30.7,49.4,26.8,16.3,5.5,0.6,0.7,1,1.7,2.8,14.4,22.2,29.1,30.7,25.3,10.9,3.3,0.7,0.6,0.5
122,453 KIEFABER ST,1300,658,374,423,391,491,393,537,277,397,511,175,1288,745,793,803,526,793,702,713,500,592,1058,1302,NA,NA,NA,22.2,39.4,24.5,15.7,4,0.6,0.6,0.4,2.1,5.4,13.3,23,27.9,33.6,25,12.4,4.2,0.7,0.6,0.8
123,454 KIEFABER ST,952,655,594,578,764,652,575,540,551,295,284,281,590,461,432,453,395,496,434,380,324,264,242,134,NA,NA,NA,29.2,39.9,24,15.5,6.6,1.9,1.8,1.9,2.3,5.1,12.6,20.7,25.6,27.7,23.1,12,4.9,1.8,1.6,1.6
124,455 KIEFABER ST,1200,679,468,594,377,633,692,671,511,531,478,250,839,455,460,620,409,732,639,389,366,225,285,259,NA,NA,NA,18.7,32.6,21.4,13.4,1.9,0.6,0.5,0.6,2.8,5.9,12.5,18.8,20.1,25.5,21.6,11.7,4.3,0.4,0.5,0.5
125,456 KIEFABAR ST,924,600,797,704,575,1018,758,787,434,174,304,548,1279,633,575,689,536,872,693,547,516,222,369,481,NA,NA,NA,23.2,31.2,20.1,10.6,4.6,0.9,0.4,0.6,1.5,4.5,11.1,19.1,20.5,25.3,20.5,11.5,5.3,0.5,0.5,0.4
126,460 KIEFABER ST,1144,676,517,483,456,595,495,612,529,140,253,549,1415,814,755,562,406,633,531,440,312,146,133,665,NA,NA,NA,24.2,34,20.9,13.7,3.7,0.6,0.5,0.8,2.1,5.1,13.1,18.9,24.3,30.1,23.5,11.6,3.8,0.5,0.5,0.6
127,7 LAWNVIEW AVE,956,414,506,588,464,887,791,569,262,122,82,79,816,526,474,506,371,676,592,588,324,114,110,137,NA,NA,NA,24,30.6,17.8,11.2,3.8,1.3,0.6,0.5,1.3,2.3,8.5,16.6,21.6,21.7,18,7.5,2.8,0.6,0.9,0.6
128,12 LAWNVIEW AVE,880,334,281,276,255,202,282,361,151,100,88,94,679,421,345,393,245,468,399,308,242,84,84,130,NA,NA,NA,22.2,29.2,19.4,11.9,2.9,1.5,1.3,1.4,1.9,5,10.5,17,21,23.2,18.6,9.3,4.2,1.4,1.4,1.4
129,14 LAWNVIEW AVE,1334,800,638,568,383,843,658,642,420,615,594,1033,939,437,396,498,455,526,466,378,388,191,211,467,NA,NA,NA,18,29.7,18.8,12.1,3.5,0.4,0,0.8,0.9,3.9,9.1,17.8,19.1,21.4,17.4,9.7,3.4,0,0.1,0.1
130,16 LAWNVIEW AVE,1334,634,561,586,478,669,565,544,259,97,128,150,952,523,508,553,482,690,628,453,275,88,113,118,NA,NA,NA,29.7,22.3,0,0,44.2,0,0.1,0.1,0.8,3.5,10.4,16.7,22.8,24.4,20.2,9.3,2.9,0,0.1,0.1
131,104 LAWNVIEW AVE,1144,1171,683,699,575,757,702,775,674,795,370,292,1181,544,642,706,426,592,482,421,551,195,434,1077,NA,NA,NA,21.7,36.3,22.2,13.2,4.3,0.8,0.8,0.5,1.6,3.7,11.3,19.4,24,26.3,21.9,10.8,4.2,0.6,0.6,0.7
132,106 LAWNVIEW AVE,1708,1024,619,522,508,744,621,649,396,570,587,660,1741,1027,964,982,574,834,688,807,625,85,524,1247,NA,NA,NA,23,36.4,21.3,13,3.4,0.8,0.5,0.5,1.7,4.2,11.5,20.7,25,28.5,22.1,11.5,4.1,0.5,0.6,0.5
133,108 LAWNVIEW AVE,1240,1052,1195,1326,1140,1362,1341,1159,665,208,793,288,1236,1062,645,524,350,601,455,441,557,84,508,1128,NA,NA,NA,23.4,27.7,20.9,12.1,2.5,0.1,0,0,1,2,5.4,9.2,11.9,13.4,11.1,4.6,1.9,0,0.1,0.3
134,110 LAWNVIEW AVE,1277,1719,964,740,597,939,845,1109,874,433,375,520,1743,729,775,793,643,860,669,537,351,143,655,1406,NA,NA,NA,18.5,37.3,22.6,12.5,3.8,0.7,0.5,0.8,2.4,4.6,10.2,18.5,21.3,25.7,21.8,9.5,3.5,0.5,0.6,0.6
135,112 LAWNVIEW AVE UPPR,1336,859,503,500,439,470,371,473,440,810,932,1052,1232,737,638,555,433,405,535,674,622,410,622,1417,NA,NA,NA,17.5,23.5,15.2,11.3,3.9,1.8,1,1.5,1.9,3.9,9.2,16.6,17.9,15.5,15.1,12.4,4.4,0.9,0.9,1.3
136,114 LAWNVIEW AVE,1286,399,426,371,303,488,399,385,264,124,108,331,945,691,656,703,590,815,710,741,444,131,115,183,NA,NA,NA,27.5,39.8,21.6,14,4.3,1.8,1.1,1.3,2.2,4.1,13.5,25.9,31.2,35.1,27.2,12.8,3.9,1.1,1.3,1.3
137,116 LAWNVIEW AVE,1304,604,357,374,333,453,339,343,376,450,631,758,1332,630,480,560,457,610,545,518,414,128,633,1008,NA,NA,NA,19,30.1,17.7,11.4,2.4,0.5,0.1,0.1,0.9,4.4,10.4,17.4,20.7,23.7,19.6,9.6,4,0,0.2,0
138,118 LAWNVIEW AVE,1270,906,618,756,447,831,754,800,694,162,226,830,1513,1086,846,868,620,938,819,850,781,147,585,1164,NA,NA,NA,21.2,30.2,17.8,11.7,2.9,0.5,0.3,0.9,1.5,2.7,7.8,15.4,20.6,23,19.3,8.8,3.2,0.4,0.4,0.5
139,120 LAWNVIEW AVE,1336,683,524,557,317,669,585,574,442,278,128,258,1374,983,746,814,451,860,678,646,392,57,232,308,NA,NA,NA,29.6,45.5,27.7,18.5,7.2,2.9,1.3,1.4,2.5,5.4,16.5,25.8,30.5,35.6,29.4,17.3,6.1,0.9,1.1,1.5
140,202 LAWNVIEW AVE,1179,660,660,663,432,669,625,661,450,122,418,822,1971,592,415,416,406,466,485,357,482,470,394,974,NA,NA,NA,22.5,37.9,22.2,16.4,4.9,0.6,0.4,0.4,0.9,3.3,11.2,20.9,23.7,25.7,22,9.2,3.4,0.4,0.4,0.4
141,204 LAWNVIEW AVE,1228,353,353,507,415,540,410,355,249,102,209,118,1326,674,630,619,439,591,666,515,433,71,94,669,NA,NA,NA,20,31.5,18.6,11.1,2.7,0.5,0.3,0.4,1.3,3,8.7,16.9,18.6,19.8,15.9,7.3,2.5,0.6,0.4,0.6
142,210 LAWNVIEW AVE,1124,302,302,338,191,349,296,281,229,97,109,191,387,309,331,315,238,280,254,246,195,75,87,109,NA,NA,NA,19.3,29.9,18.3,11.1,3.7,0.6,0.7,0.8,1.4,3.4,10.9,19.3,22.6,26.2,19.4,9.3,4.1,0.6,0.5,0.5
